;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE03;TCE04;TCE05;TCE06;TCE13;TCE14;TCE15;TCE16;TCE17;TCE18;TCE19;TCE20;TCE21;TCE26;TCE28;TCE29
10;86;Altinópolis;SP;2015;35010011;Prefeitura Municipal de Altinópolis;PMA;Local;Água e Esgoto;Administração pública direta;16179;14136;1820.0;1121.08;0.0;5791.0;5530.0;1769438.65;;167114.8;;100.0;100.0;80.79;38.4;87.37;87.37;4.71;0.0;78.7;100.0;1.67;17.91;0.384021978021978;0.24794875710057487;0.1667702578406192;0.12954890776396755;3501004;possui registro;100,00;100,00;90,00;sim;;parcialmente;sim;fornecimento de água para propriedades rurais durante a estiagem;sim;fornecimento de água para as escolas durante a estiagem;sim;fornecimento de água para as ubs durante a estiagem;sim;campanha de concientização e remanejamento entre os reservatórios;sim;não;sim
11;94;Alto Alegre;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4173;3290;238.84;233.92;0.0;1544.0;1421.0;992105.19;60608.53;;;100.0;96.23;82.01;17.75;79.27;75.87;0.0;0.0;100.0;100.0;0.0;100.0;0.02059956456204992;0.0691605288551302;0.0661238236578199;5.99601239323405;3501103;possui registro;100,00;98,00;100,00;não;;parcialmente;sim;VERIFICAÇÃO DO NIVEL ESTATICO E DINAMICO DO POÇO;não;;não;;sim;ABASTECIMENTO COM CARRO PIPA;sim;não;sim
12;102;Alumínio;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;18061;15148;1015.69;714.67;0.0;4463.0;3913.0;3301697.42;3178835.0;;;77.91;70.64;0.0;38.78;65.35;59.25;0.73;4.67;110.75;109.41;0.76;105.65;0.2963699553997776;0.053213191334347605;0.025351118337308933;0.060153061859001634;3501152;possui registro;80,00;80,00;;sim;Lei 1829 02/02/2016;parcialmente;sim;Sabesp;sim;Sabesp;não;;sim;Sabesp;sim;não;não
13;110;Álvares Florence;SP;2015;35012011;Datema Ambiental Saneamento Básico LTDA;PMV;Local;Água e Esgoto;Empresa privada;3853;2618;210.5;209.0;0.0;1210.0;1174.0;720416.38;258439.94;0.0;0.0;99.31;99.31;85.35;5.94;92.58;92.58;0.0;0.0;100.0;100.0;0.0;100.0;0.0071258907363420665;0.09347738287560571;-0.20488533569393344;0.9032258064516127;3501202;possui registro;100,00;100,00;88,00;sim;Lei 1750/2011;não;não;;não;;não;;não;;sim;não;sim
14;118;Álvares Machado;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24651;22208;1602.25;1537.18;0.0;10149.0;9315.0;6662289.56;1418816.66;;;100.0;100.0;80.34;17.44;100.0;96.61;0.15;0.0;100.15;100.15;0.3;100.0;0.040611639881416695;1.0;0.4382504883177324;0.5306789511152189;3501301;possui registro;100,00;94,09;100,00;não;;sim, para todos os órgãos e entidades;sim;tem adutora que liga ao município vizinho Presidente Prudente;sim;existem reservatórios nas escolas;sim;distribuição normal e com urgência caminhão pipa;sim;adutora que liga ao município de presidente prudente;sim;não;sim
15;126;Álvaro de Carvalho;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5030;3193;201.15;181.83;0.0;1255.0;1213.0;802459.12;305769.04;;;100.0;99.56;82.79;23.8;63.74;63.2;0.0;0.0;100.0;100.0;0.0;100.0;0.09604772557792685;0.03383241542426931;0.026195919649557586;-0.05791102549968836;3501400;possui registro;100,00;99,75;100,00;não;;parcialmente;sim;Existe a brigada de incêndio municipal com respectivos EPIs e orientação.;não;;não;;não;;sim;não;sim
16;134;Alvinlândia;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3168;2844;210.43;172.11;0.0;1131.0;1066.0;668990.97;562753.55;;;100.0;99.05;80.92;31.67;91.07;88.92;0.75;0.0;110.83;110.0;0.0;108.33;0.18210331226536136;0.13291443524307134;0.2445538297801577;-9.659464076609895;3501509;possui registro;100,00;100,00;100,00;sim;Lei Lei n.º 1.165/08;sim, para todos os órgãos e entidades;não;;sim;As Caixas de água;sim;As Caixas de Água;não;;sim;sim;sim
17;142;Americana;SP;2015;35016011;Departamento de Água e Esgoto de Americana;DAE;Local;Água e Esgoto;Autarquia;229322;228251;26011.2;21245.31;0.0;79997.0;78420.0;84657680.0;21010766.85;0.0;0.0;100.0;100.0;79.6;26.16;100.0;100.0;0.15;0.24;328.99;405.33;0.0;147.9;0.1832245340468721;1.0;1.0;-0.46513277046245605;3501608;possui registro;99,00;98,30;88,30;não;;parcialmente;sim;manobras de reservatórios, enrocamento, campanha de conscientizacao, lei do desperdidio;não;;não;;sim;sistema de poços tubulares freaticos profundos, caminhoes pipa;sim;sim;sim
18;150;Américo Brasiliense;SP;2015;35017011;Prefeitura Municipal de Américo Brasiliense;PMAB;Local;Água e Esgoto;Administração pública direta;38202;37913;3773.07;3348.1;0.0;10902.0;10921.0;4814364.45;;0.0;0.0;100.0;100.0;0.0;11.26;99.24;99.24;14.4;0.0;100.0;100.0;0.0;100.0;0.1126324186935308;1.1150772420528783;0.7082172055651321;-0.0;3501707;possui registro;100,00;100,00;;sim;Decreto 005/2016;não;sim;RACIONAMENTO DE RECURSOS HIDRICOS;sim;EM CASO DE NECESSIDADE O ABASTECIMENTO SE FAZ POR CAMINHÃO ADEQUADO AO TRANSPORTE DE AGUA POTAVEL;sim;EM CASO DE NECESSIDADE O ABASTECIMENTO SE FAZ POR CAMINHÃO ADEQUADO AO TRANSPORTE DE AGUA POTAVEL;sim;EM CASO DE NECESSIDADE O ABASTECIMENTO SE FAZ POR CAMINHÃO ADEQUADO AO TRANSPORTE DE AGUA POTAVEL;não;não;sim
19;157;Américo de Campos;SP;2015;35018011;Prefeitura Municipal de Américo de Campos;PMAC;Local;Água e Esgoto;Administração pública direta;5942;4986;473.0;373.0;0.0;2490.0;2440.0;406139.72;;15524.3;0.0;100.0;99.8;99.02;13.53;83.91;83.74;2.33;0.0;100.0;100.0;0.0;100.0;0.21141649048625788;0.11163514691110822;0.11240570216650107;0.02959830866807651;3501806;possui registro;99,00;99,00;100,00;não;;parcialmente;não;;não;;não;;não;;sim;não;sim
20;163;Amparo;SP;2015;35019011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água e Esgoto;Autarquia;70280;55314;5998.59;3659.14;0.0;23506.0;21113.0;13207715.49;544807.73;0.0;0.0;99.99;94.99;47.4;41.22;78.7;74.76;0.41;0.59;158.26;158.26;0.0;100.0;0.38999998332941577;0.05002349906259897;0.10317011584675562;-1.256758356362855;3501905;possui registro;95,00;89,00;70,00;sim;Decreto N° 5279 de 21/05/2015 - Plano de Resíduos Sólidos;parcialmente;sim;Redução do volume de captação/Camp. uso racional/medidas de restrição do uso da agua;não;;não;;não;;sim;não;sim
21;175;Andradina;SP;2015;35021011;Águas de Andradina;AA;Local;Água e Esgoto;Empresa privada;57250;53437;5193.16;3905.7;0.0;23648.0;21501.0;15045000.0;5997762.89;0.0;0.0;100.0;98.0;98.0;34.75;95.57;91.47;0.7;0.31;273.42;122.0;0.0;121.21;0.24791456454259064;0.45926171506002095;0.35695185478302877;0.1183599229163933;3502101;possui registro;100,00;98,00;100,00;sim;Lei Lei Federal 11445/2007;parcialmente;sim;É desenvolvido em parceria com a concessionaria de Agua e Esgoto, criação de Lei para regulamentar;sim;A mesma campanha realizada no município e repassado as redes de ensino;sim;São feitos campanhas educativas e apresentação de propostas visando a adequação de antigos setores;não;;sim;não;não
22;183;Angatuba;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24161;17354;1549.28;1198.61;0.0;7961.0;6369.0;4941589.59;350837.82;;;100.0;89.07;68.13;37.54;79.31;63.98;1.52;0.9;107.92;106.56;0.79;103.42;0.22634385004647328;0.06819733027788198;0.022623982135100227;-0.30427885647427977;3502200;possui registro;90,00;80,00;80,00;não;;parcialmente;sim;A Secretaria do Meio Ambiente realiza trabalho nas escolas, cooperativas, igrejas e outros órgãos.;não;;não;;sim;Através de caminhão pipa.;sim;não;sim
23;191;Anhembi;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6307;4765;398.47;334.4;0.0;2311.0;2135.0;1433677.96;874557.39;;;100.0;97.48;67.93;35.79;78.12;73.65;0.53;0.27;104.17;104.17;0.27;104.17;0.16079002183351332;0.09884871469510541;0.08723230959686018;0.013086910558821444;3502309;possui registro;100,00;93,33;93,00;sim;Lei 156/14;parcialmente;não;;sim;coleta seletiva torneiras automaticas;sim;torneiras automaticas;não;;sim;não;sim
24;199;Anhumas;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3999;3273;210.49;216.15;0.0;1383.0;1307.0;967076.2;418779.44;;;100.0;100.0;80.32;9.34;86.17;83.77;0.0;0.0;100.0;100.0;0.83;100.0;-0.026889638462634702;0.15591314332921738;0.13934941035850756;2.221610483189948;3502408;possui registro;99,60;96,40;100,00;não;;sim, para todos os órgãos e entidades;não;;não;;não;;não;;sim;não;sim
25;207;Aparecida;SP;2015;35025011;Serviço Autônomo de Água e Esgotos e Resíduos Sólidos;SAAE;Local;Água e Esgoto;Autarquia;36217;35690;5538.85;2582.49;0.0;12172.0;12184.0;13555388.12;11862881.01;0.0;0.0;100.0;97.0;51.0;58.32;100.0;97.0;6.82;0.0;100.0;100.0;0.0;100.0;0.5337497856053153;1.0;0.28877473585896896;-5.5276032197943605;3502507;possui registro;100,00;95,00;74,00;sim;Outro Portaria 518/2004;sim, para todos os órgãos e entidades;sim;Campanhas e ações de educação ambiental de conscientização e sensibilização popular e orientação;sim;O SAAE mantem caminhão pipa para suprir a rede em caso de emergência .;sim;O SAAE mantem caminhão pipa para suprir a rede em caso de emergência .;sim;O Município vem recuperando nascentes para suprir possíveis situações de escassez.;sim;não;sim
26;221;Apiaí;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;25211;18232;1512.8;1219.24;0.0;8891.0;5277.0;5003710.43;1341889.56;;;100.0;65.15;39.08;35.43;76.24;47.12;0.37;4.81;109.39;109.39;0.15;109.39;0.19405076679005817;0.03112043395498127;0.03393111799145241;-0.13962263859150795;3502705;possui registro;100,00;100,00;100,00;sim;;parcialmente;não;;não;;não;;não;;sim;não;sim
27;229;Araçariguama;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;20114;20114;1140.18;902.71;0.0;5211.0;3576.0;3872225.62;4095198.61;;;57.92;38.84;0.0;35.22;57.92;38.84;0.0;0.0;106.02;104.63;0.91;101.39;0.20827413215457213;0.09534295621384736;0.06678816600122514;-0.029151569722891207;3502754;possui registro;80,00;50,00;0,00;sim;;não;não;;sim;Fornecimento de água potável através de caminhão pipa próprio da prefeitura;sim;Fornecimento de água potável através de caminhão pipa próprio da prefeitura;sim;Fornecimento de água potável através de caminhão pipa próprio da prefeitura;não;não;sim
28;237;Araçatuba;SP;2015;35028011;Soluções Ambientais de Araçatuba S.A.;SAMAR;Local;Água e Esgoto;Empresa privada;192757;189039;22432.65;13992.03;0.0;81050.0;78578.0;65068340.65;1896975.31;0.0;0.0;100.0;99.0;100.0;40.73;98.07;97.09;5.0;0.98;141.16;141.16;2.2;134.89;0.37626495309292485;0.4118656457972863;0.7501468145191178;-0.19953505822278478;3502804;possui registro;100,00;100,00;100,00;não;;parcialmente;não;;sim;são utilizados caminhões pipa para atender escolas em zona rural.;sim;Temos caminhão pipa para casos emergenciais;não;;não;não;não
29;245;Araçoiaba da Serra;SP;2015;35029011;Águas de Araçoiaba;CAA;Local;Água e Esgoto;Empresa privada;31321;21529;2859.8;2292.3;0.0;12967.0;3637.0;7532123.38;2420416.87;0.0;0.0;100.0;39.92;32.15;33.37;96.51;27.44;0.0;0.0;100.0;100.0;0.0;100.0;0.19844045038114555;0.7159673042650886;0.026519901139842858;0.08599066568721143;3502903;possui registro;96,00;38,00;100,00;não;;parcialmente;sim;Parceria com a SABESP para coletagem de agua em outro manancial em Salto de Pirapora, entre outras.;sim;Envio de Caminhão Pipa as Escolas da Rede Municipal;sim;Envio de Caminhão pipa a rede municipal de Atenção básica;sim;Água de outros mananciais, caminhão pipa, poços profundos, novos estudos, etc;sim;não;sim
30;253;Arandu;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6351;4786;412.38;302.39;0.0;1910.0;1844.0;1300459.36;169993.1;;;83.41;81.59;82.76;37.9;62.86;61.49;2.24;0.0;111.67;110.83;0.0;108.33;0.2667200155196664;0.03008169543667749;0.026141330411720575;0.1415512919161723;3503109;possui registro;100,00;97,00;100,00;sim;Lei 2316;não;não;;não;;não;;sim;caminhão pipa;sim;sim;sim
31;261;Arapeí;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;2524;1898;106.93;123.03;0.0;835.0;793.0;512322.53;737427.97;;;96.21;92.83;79.67;15.71;72.35;69.81;2.21;0.0;113.33;110.0;0.76;110.0;-0.15056579070419884;0.033322028504915495;0.19674876890263318;5.223630025443644;3503158;não possui registro;;;;não;;não;não;;não;;não;;não;;sim;não;sim
32;269;Araraquara;SP;2015;35032011;Departamento Autônomo de Água e Esgotos;DAAE;Local;Água e Esgoto;Autarquia;226508;220069;32799.53;15793.32;0.0;110357.0;110745.0;82859784.6;2753603.12;0.0;0.0;99.51;99.85;100.0;51.33;97.12;97.18;0.2;0.12;118.04;118.04;0.05;146.38;0.51848944176944;0.5836756199828057;0.5880819730075378;-0.12062016197466953;3503208;possui registro;100,00;99,80;100,00;sim;Lei Plano Municipal de Saneamento Básico;sim, para todos os órgãos e entidades;não;;não;;não;;sim;Capacidade de reservação;sim;sim;sim
33;277;Araras;SP;2015;35033011;Serviço de Água, Esgoto e Meio Ambiente do Município de Araras;SAEMA;Local;Água e Esgoto;Autarquia;128895;121955;14737.0;10190.0;0.0;45206.0;44534.0;28428225.69;5857738.02;0.0;0.0;100.0;100.0;92.5;41.11;100.0;100.0;0.03;0.0;100.0;100.0;0.0;100.0;0.30854312275225626;1.0;1.0;-0.18190598202609318;3503307;possui registro;100,00;100,00;;sim;Decreto Decreto nº 6.177, de 22 de dezembro de 2015;parcialmente;sim;Plano de Metas 2015 - SAEMA;sim;Poços profundos e caminhões pipa;sim;Poços profundos e caminhões pipa;não;;sim;não;sim
34;285;Arco-Íris;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;1890;1077;76.61;81.74;0.0;552.0;531.0;337834.91;29093.48;;;99.44;97.49;82.56;8.93;56.67;55.56;0.83;0.0;100.0;100.0;0.0;100.0;-0.06696253752773784;0.016314721250593772;0.009330021813711908;0.27417562452153244;3503356;possui registro;68,00;68,00;81,00;sim;Lei artigo 19  da lei federal  11445/2007;sim, para todos os órgãos e entidades;sim;Plano de Contingência;sim;Transferencia de água entre setores de abastecimento;sim;Transferencia de água entre setores de abastecimento;sim;deslocamento de frota de caminhões tanque;sim;não;sim
35;293;Arealva;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8351;6578;586.77;507.95;0.0;3212.0;2751.0;2052073.4;77926.82;;;87.32;77.93;73.76;27.0;68.78;61.38;0.82;0.21;101.46;100.42;0.0;100.42;0.1343286125739216;0.03123002029730086;0.035118702511366756;0.12843690283975623;3503406;não possui registro;;;;não;Outro Plano executado pela SABESP.;parcialmente;não;;sim;São realizadas campanhas nas escolas.;não;;não;;não;não;não
36;302;Areiópolis;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;11049;9819;650.14;594.62;0.0;3675.0;3637.0;2591641.5;37916.94;;;100.0;100.0;82.64;18.34;94.56;94.33;0.0;0.0;109.72;109.72;0.44;105.09;0.08539699141723323;0.2843396680298292;0.2751868288063975;0.2962532572739322;3503604;possui registro;100,00;100,00;100,00;sim;Outro Elaborado Pela Sabesp;parcialmente;não;;não;;não;;não;;sim;não;sim
37;313;Artur Nogueira;SP;2015;35038011;Serviço de Água e Esgoto de Artur Nogueira;SAEAN;Local;Água e Esgoto;Autarquia;50246;45493;3736.85;2326.55;0.0;15151.0;14388.0;9681974.52;366045.98;0.0;907319.33;100.0;97.0;0.0;40.58;90.54;87.83;0.62;6.95;107.19;107.19;0.0;100.0;0.37740342802092663;0.2461857631135004;0.24444351816816828;-0.2239533211921226;3503802;possui registro;98,00;98,00;0,00;sim;Lei 3227 de 15/04/2015;parcialmente;sim;Campanhas para economia de água e multas pra infratores.;sim;Lei 3207 de 05/12/2014;sim;Lei 3207 de 05/12/2014;não;;sim;não;sim
38;321;Arujá;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;83939;80590;0.0;4980.81;5103.6;27809.0;16518.0;24423376.58;8266126.09;;;100.0;65.67;43.56;20.95;100.0;63.05;0.0;0.0;125.46;125.46;0.0;125.46;0.024059487420644232;1.0;0.0789704885496828;0.8714047173404772;3503901;possui registro;99,00;65,00;100,00;sim;Lei 2410;parcialmente;sim;SABESP: REDUÇÃO PRESSÃO BUSCA VAZAMENTO CONSERTOS E SE NECESSÁRIO RODÍZIO, PMA: COMITE CRISE HIDRICA;sim;CAMINHÃO PIPA;sim;CAMINHÃO PIPA;sim;SABESP;sim;não;sim
39;329;Aspásia;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;1848;1284;92.07;89.86;0.0;633.0;627.0;383676.35;76477.25;;;100.0;100.0;85.35;15.18;82.9;83.06;0.0;0.0;100.0;100.0;0.0;100.0;0.024003475616378722;0.3112297491632412;0.3120359922947679;0.4700517057723358;3503950;possui registro;100,00;100,00;100,00;sim;Outro está em outra fase de elaboração;sim, para todos os órgãos e entidades;sim;Deslocamento de frota de caminhões tanque. Controle da água disponível em reservatórios.;sim;Deslocamento de frota de caminhões tanque. Transferência de água entre setores de abastecimento.;sim;Deslocamento de frota de caminhões tanque. Transferência de água entre setores de abastecimento.;sim;O plano descreve as atividades essenciais para propiciar a operação permanente do sistema de abastec;sim;não;sim
40;337;Assis;SP;2015;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;101597;97162;7843.99;6770.52;0.0;41847.0;41213.0;31593474.86;3171004.32;;;100.0;100.0;83.72;25.92;97.05;96.74;0.26;0.61;100.53;100.53;0.09;100.09;0.13685254570696792;0.457104163258412;0.44242470571898723;0.01478337298464986;3504008;possui registro;99,00;99,00;100,00;não;;parcialmente;sim;Operações contra estiagem promovidas pela defesa civil (ex: corpo de bombeiros);não;;não;;não;;sim;não;sim
41;345;Atibaia;SP;2015;35041011;Saneamento Ambiental de Atibaia;SAAE;Local;Água e Esgoto;Autarquia;137187;124862;11817.88;7300.89;0.0;39936.0;25446.0;34174564.77;2479040.06;0.0;0.0;90.8;49.94;62.35;56.24;82.64;45.46;0.71;1.84;164.16;177.84;1.67;100.88;0.3822166073779729;0.1382602150045791;0.04090418601133414;0.05748392948601142;3504107;possui registro;89,65;62,22;87,15;sim;Decreto Plano Municipal da Gestão Integrada de Resíduos Sólidos;sim, para todos os órgãos e entidades;sim;Projeto Ação Água: Gestão Sustentável.Solic. à PCJ tarifa de contingência.Lei 4.340/15 contenção;sim;Lei 4.340/15 dispõe sobre a proibição do uso de água tratada para os fins que especifica;sim;Lei 4.340/15 dispõe sobre a proibição do uso de água tratada para os fins que especifica;sim;Fornecimento através de caminhões pipas para as áreas com escassez;sim;sim;sim
