;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE03;TCE04;TCE05;TCE06;TCE13;TCE14;TCE15;TCE16;TCE18;TCE20;TCE21;TCE26
10;87;Altinópolis;SP;2014;35010011;Prefeitura Municipal de Altinópolis;PMA;Local;Água e Esgoto;Administração pública direta;16159;14118;1820.0;1017.06;0.0;5515.0;5370.0;2108662.1;;112900.14;85400.02;99.87;99.87;80.0;44.12;87.25;87.25;4.0;0.0;312.5;100.0;0.83;100.0;0.44117582417582424;0.22202553003167066;0.40985832031460445;-0.8283781579245503;3501004;percentual:;100;100;79;sim;Outro plano - falta a revisão e aprovação para a câmara municipal aprovar;parcialmente;sim;fornecimento de água para propriedades rurais durante a estiagem;sim;sim;sim;campanha de concientização e remanejamento entre reservatórios;sim
11;95;Alto Alegre;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4183;3298;242.53;243.53;0.0;1514.0;1389.0;926645.56;139044.41;0.0;0.0;99.64;94.72;81.33;13.57;78.56;74.68;0.0;0.29;101.18;101.18;0.29;101.18;-0.004123201253453113;0.05705295350707179;0.03878059712914477;1.0501156370533347;3501103;percentual:;100;100;100;sim;;sim, para todos os órgãos e entidades;sim;SOB RESPONSABILIDADE DA SABESP;sim;sim;sim;SOB RESPONSABILIDADE DA SABESP;sim
12;103;Alumínio;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;17924;15033;1016.59;696.02;0.0;4330.0;3843.0;2828672.45;7783848.42;0.0;0.0;89.7;76.04;0.0;38.9;75.23;63.77;1.24;4.92;86.83;87.37;0.93;86.29;0.31533853372549414;0.033227489686576676;0.03278187898412841;0.1294016746816703;3501152;percentual:;80;80;0;não;;parcialmente;não;;não;não;não;;não
13;111;Álvares Florence;SP;2014;35012011;Datema Ambiental Saneamento Básico LTDA;PMV;Local;Água e Esgoto;Empresa privada;3883;2638;210.5;195.0;0.0;1200.0;1190.0;623038.56;221071.87;0.0;0.0;98.56;98.56;86.67;7.36;91.86;91.86;0.0;0.0;100.0;100.0;0.0;100.0;0.07363420427553447;0.009316562304130083;0.009394117274090182;-0.22370063207053534;3501202;percentual:;100;100;100;sim;Lei 1750;não;não;;não;não;não;;não
14;119;Álvares Machado;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24568;22133;1716.46;1567.93;0.0;9901.0;9060.0;6185201.73;1685817.69;0.0;0.0;100.0;100.0;79.45;19.77;95.07;92.03;0.0;0.0;100.0;100.0;0.15;100.0;0.08653274763175367;0.3283485954495723;0.2364696802387275;0.15521103720993426;3501301;percentual:;100;100;100;não;;sim, para todos os órgãos e entidades;não;;não;não;não;;sim
15;127;Álvaro de Carvalho;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4984;3164;206.08;187.37;0.0;1230.0;1194.0;719966.75;140366.1;0.0;0.0;99.62;99.56;82.85;21.34;63.24;63.2;1.67;0.0;100.0;100.0;0.83;100.0;0.09078998447204967;0.029851899151355367;0.029319760352049203;0.08852222485696032;3501400;percentual:;100;100;97;sim;;parcialmente;não;;não;não;não;;sim
16;135;Alvinlândia;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3153;2830;182.63;179.51;0.0;1114.0;1023.0;610138.69;1768959.55;0.0;0.0;99.96;99.08;78.55;14.88;89.72;88.93;0.69;0.0;120.83;120.0;0.71;117.5;0.017083721184909417;0.14701886522625154;0.1238450022629949;3.7495387224483108;3501509;percentual:;100;98;98;não;;sim, para todos os órgãos e entidades;não;;sim;sim;não;;sim
17;143;Americana;SP;2014;35016011;Departamento de Água e Esgoto de Americana;DAE;Local;Água e Esgoto;Autarquia;226970;225910;29898.78;26159.74;0.0;84960.0;92782.0;96265267.32;11038519.5;0.0;0.0;100.0;100.0;42.68;17.39;100.0;100.0;0.14;0.55;329.19;405.95;0.09;122.19;0.12505660766091453;1.0;1.0;0.42650485164125446;3501608;percentual:;100;99;85;não;;parcialmente;não;;sim;sim;não;;sim
18;151;Américo Brasiliense;SP;2014;35017011;Prefeitura Municipal de Américo Brasiliense;PMAB;Local;Água e Esgoto;Administração pública direta;37691;37406;3773.07;3348.1;0.0;11711.0;10718.0;3613249.66;;0.0;0.0;100.0;100.0;0.0;11.26;99.24;99.24;14.4;0.0;100.0;100.0;0.0;100.0;0.1126324186935308;2.4164969061139234;0.0;-0.0;3501707;percentual:;100;100;0;não;;sim, para todos os órgãos e entidades;sim;RACIONAMENTO VERIFICANDO A NECESSIDADE DO SETOR;sim;sim;sim;GERENCIAMENTO DE RECURSOS HIDRICOS;sim
19;158;Américo de Campos;SP;2014;35018011;Prefeitura Municipal de Américo de Campos;PMAC;Local;Água e Esgoto;Administração pública direta;5930;4976;459.0;359.0;0.0;2430.0;2380.0;304386.04;;86000.0;0.0;100.0;100.0;99.24;14.38;83.91;83.91;2.33;0.0;100.0;100.0;0.17;100.0;0.21786492374727673;0.11910164305397555;0.1329857203987511;0.019607843137254666;3501806;percentual:;100;99;99;não;;sim, para todos os órgãos e entidades;não;;não;não;não;;sim
20;164;Amparo;SP;2014;35019011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água e Esgoto;Autarquia;69808;54943;5468.01;4523.06;0.0;23171.0;20293.0;12763820.08;824105.94;0.0;0.0;92.57;92.57;30.83;35.19;95.47;94.55;0.56;0.94;166.67;166.67;0.35;100.0;0.17281424137849044;0.04681601463712175;0.46992861565950256;0.6322147406635668;3501905;percentual:;99;89;50;sim;Outro Agua. Projeto aguardando aprovação da Câmara Municipal.;parcialmente;sim;lei municipal referente a controle fiscalização de desperdício de água;não;não;não;;sim
21;176;Andradina;SP;2014;35021011;Águas de Andradina;AA;Local;Água e Esgoto;Empresa privada;57198;53389;5733.56;4121.3;0.0;22717.0;20388.0;9657578.73;6527058.52;0.0;0.0;100.0;98.0;80.0;35.64;93.34;91.47;2.46;0.39;192.76;103.72;0.0;103.6;0.2811970224432988;0.30460279246880795;0.2879853012938745;0.03687182359398648;3502101;percentual:;100;98;98;sim;Outro PLANO DIRETOR DO MUNICIPIO;sim, para todos os órgãos e entidades;sim;CAMPANHAS EDUCATIVAS RÁDIO E TV;não;não;não;;sim
22;184;Angatuba;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;23917;17179;1489.69;1231.17;0.0;7809.0;6286.0;4543222.61;571733.22;0.0;0.0;100.0;89.78;68.48;30.93;76.77;64.49;1.3;0.24;117.92;116.94;0.85;114.72;0.17353946123018882;0.07151439530122573;0.034316825318898306;-0.8786830259344653;3502200;percentual:;93;91,5;100;sim;Lei 11.445/2007;sim, para todos os órgãos e entidades;sim;Quadro 14.1 - Ações de contingência e emergência para o sistema de abastecimento de água.;sim;sim;sim;Quadro 14.1 - Ação de cotingência e emergência para o sistema de abastecimento de água.;sim
23;192;Anhembi;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6215;4696;410.38;343.52;0.0;2240.0;2062.0;1361558.24;186287.21;0.0;0.0;100.0;98.19;67.0;32.68;76.83;74.19;0.0;0.27;103.61;103.61;0.0;103.61;0.16292216969637896;0.14112660939056842;0.12662075837624998;0.10116347485756695;3502309;percentual:;100;93;93;sim;Lei Complementar 156/14;parcialmente;não;;não;não;não;;sim
24;200;Anhumas;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3970;3249;232.15;227.04;0.0;1342.0;1266.0;920522.39;319476.14;0.0;0.0;100.0;99.97;79.99;11.48;81.84;81.81;0.0;0.0;100.0;100.0;0.0;100.0;0.022011630411371996;0.0970329312031301;0.08455612269236273;0.8161319295061047;3502408;percentual:;100;96;100;não;;parcialmente;não;;não;não;não;;sim
25;208;Aparecida;SP;2014;35025011;Serviço Autônomo de Água e Esgotos e Resíduos Sólidos;SAAE;Local;Água e Esgoto;Autarquia;36184;35658;6046.0;5551.63;0.0;12564.0;12031.0;12655185.11;9435574.39;0.0;0.0;100.0;78.55;36.65;0.62;100.0;80.46;0.0;0.0;100.0;100.0;0.0;100.0;0.08176811114786631;;0.11749527037365659;0.5767380136986303;3502507;percentual:;10;95;60;sim;Lei 3800/2012;sim, para todos os órgãos e entidades;não;;sim;sim;não;;sim
26;222;Apiaí;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;25349;18332;1506.14;1249.68;0.0;8802.0;5069.0;4492669.96;2278645.21;0.0;0.0;100.0;66.46;27.45;31.86;75.52;48.07;0.66;2.34;110.52;110.52;0.22;110.52;0.17027633553321742;0.02826791891373147;0.028216311283046913;-0.150321806720148;3502705;percentual:;1;73;100;sim;;não;não;;não;não;sim;EM ELABORAÇÃO;sim
27;230;Araçariguama;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;19636;19636;1123.56;896.18;0.0;4812.0;3173.0;3448748.56;3828430.36;0.0;0.0;55.36;45.06;0.0;31.63;55.36;45.06;0.0;1.6;87.04;86.57;1.06;87.04;0.20237459503720323;0.08143560495138112;0.05055559434614087;-0.20436456584090293;3502754;percentual:;85,23;69,18;0;sim;;não;não;;não;sim;não;;não
28;238;Araçatuba;SP;2014;35028011;Soluções Ambientais de Araçatuba S.A.;SAMAR;Local;Água e Esgoto;Empresa privada;191662;187966;24133.75;16563.58;0.0;79933.0;71507.0;63598567.14;17848089.19;0.0;0.0;100.0;99.0;100.0;42.0;98.07;97.09;1.3;0.47;119.12;138.29;0.0;121.49;0.3136756616771118;0.697083233053677;3.5280439436759212;0.20004681459680906;3502804;percentual:;100;100;100;não;;parcialmente;não;;não;não;não;;não
29;246;Araçoiaba da Serra;SP;2014;35029011;Águas de Araçoiaba;CAA;Local;Água e Esgoto;Empresa privada;30713;21111;2997.1;2346.4;0.0;11785.0;3375.0;7362811.6;4084550.98;0.0;0.0;100.0;40.02;21.21;19.19;96.35;27.51;0.0;0.0;100.0;100.0;0.0;100.0;0.21710987287711447;0.6332920151643923;0.005813130599529991;0.10473540506572054;3502903;percentual:;68,75;19,25;19,25;sim;Lei 1655 de 22 de abril de 2009;parcialmente;não;;não;não;sim;Utilização de um local alternativo de capitação.;não
30;254;Arandu;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6343;4780;447.57;308.51;0.0;1875.0;1813.0;1167136.01;220628.92;0.0;0.0;80.79;78.81;82.53;40.41;60.89;59.39;0.0;0.0;122.5;121.67;0.0;118.33;0.3107000022342874;0.046702215284328275;0.0380227406591718;-0.14556814479555177;3503109;percentual:;100;97;100;sim;Outro ato 458/2011;não;não;;não;não;sim;Através de caminhão pipa.;sim
31;262;Arapeí;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;2532;1904;130.16;125.52;0.0;824.0;709.0;457308.67;196479.2;0.0;0.0;99.79;78.94;68.75;26.42;75.04;59.36;1.49;0.0;111.67;110.0;0.0;110.0;0.0356484326982176;0.07116689427933495;0.19821376098590418;0.5109709860102537;3503158;percentual:;100;100;100;sim;;não;não;;não;não;não;;não
32;270;Araraquara;SP;2014;35032011;Departamento Autônomo de Água e Esgotos;DAAE;Local;Água e Esgoto;Autarquia;224304;217927;33611.66;18060.19;0.0;105769.0;106157.0;81557400.68;2941344.91;0.0;0.0;99.51;99.85;84.92;45.47;97.12;97.18;0.08;0.0;128.23;128.29;0.34;131.58;0.4626808077911059;0.5314828322441382;0.5359646574969686;-0.14382667415285227;3503208;percentual:;100;100;100;sim;Lei O próprio Plano, apresentado à Câmara dos vereadores;parcialmente;não;;não;não;sim;Capacidade de reservação;sim
33;278;Araras;SP;2014;35033011;Serviço de Água, Esgoto e Meio Ambiente do Município de Araras;SAEMA;Local;Água e Esgoto;Autarquia;127661;120787;18000.0;13301.0;0.0;43018.0;43018.0;32921230.68;2085334.27;0.0;;100.0;100.0;80.0;38.46;100.0;100.0;0.02;0.0;100.0;100.0;0.0;100.0;0.2610555555555556;1.0;1.0;0.11425631576911172;3503307;percentual:;100;100;60;sim;Decreto Decreto n. 5.900, de 04/05/12.;parcialmente;sim;Racionamento/Rodízio Sazonal na Distribuição de Água.;sim;sim;sim;Poços artesianos.;sim
34;286;Arco-Íris;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;1907;1087;76.2;83.23;0.0;545.0;527.0;309289.14;46239.23;0.0;0.0;98.99;95.12;82.85;5.96;56.42;54.22;0.0;0.0;100.0;100.0;0.0;100.0;-0.09225721784776897;0.01864934390966869;0.01982527045539863;0.19504484332823432;3503356;percentual:;100;100;100;não;;parcialmente;não;;não;não;não;;sim
35;294;Arealva;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8299;6537;612.3;517.93;0.0;3165.0;2688.0;1940906.11;107763.48;0.0;0.0;100.0;95.85;73.43;26.2;78.77;75.5;0.0;0.21;100.0;100.0;0.21;99.79;0.15412379552506938;0.06469105536468485;0.04593854578643141;-0.39341466793538143;3503406;percentual:;100;99;100;sim;;não;não;;não;não;não;;sim
36;303;Areiópolis;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;11020;9793;700.64;615.62;0.0;3591.0;3554.0;2384843.79;140123.41;0.0;0.0;100.0;100.0;82.46;19.63;88.87;88.87;0.0;0.0;98.15;98.15;0.94;98.15;0.12134619776204614;0.3234378131618719;0.32262983064384404;0.3790948825375833;3503604;percentual:;100;100;100;não;;não;não;;não;não;não;;não
37;314;Artur Nogueira;SP;2014;35038011;Serviço de Água e Esgoto de Artur Nogueira;SAEAN;Local;Água e Esgoto;Autarquia;49346;44678;3703.09;2561.25;0.0;14634.0;13743.0;7735003.76;753064.24;0.0;788748.16;100.0;97.0;0.0;42.25;90.54;87.82;0.78;3.18;98.75;98.69;0.49;100.0;0.30834789324591083;0.2924542361779368;0.11595252131112807;0.2186631692092698;3503802;percentual:;95;95;0;não;;sim, para todos os órgãos e entidades;não;;não;não;não;;sim
38;322;Arujá;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;82651;79353;0.0;5368.11;6603.61;26949.0;15688.0;25258862.41;6396846.96;0.0;0.0;100.0;69.72;40.68;30.05;99.38;66.93;0.0;0.0;127.31;127.78;0.36;127.78;0.1870946346013771;0.8486884883066764;0.13163180183424786;0.08669234131914166;3503901;percentual:;100;67;100;não;;sim, para todos os órgãos e entidades;não;;sim;sim;não;;sim
39;330;Aspásia;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;1851;1286;96.26;91.9;0.0;574.0;569.0;350552.92;36691.5;0.0;0.0;100.0;100.0;84.82;14.68;72.18;72.02;0.0;0.0;100.0;100.0;0.0;100.0;0.04529399542904633;0.04736599083916279;0.05554171353180422;-9.835992432775404;3503950;percentual:;100;100;100;não;;parcialmente;sim;existe um poço que fica sempre em situação de descanso para casos emergenciais;sim;sim;sim;existe um poço que fica sempre em situação de descanso para casos emergenciais.;sim
40;338;Assis;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;100911;96506;8224.84;7082.36;0.0;40776.0;40111.0;29681368.78;4761710.43;0.0;0.0;100.0;100.0;82.77;23.85;95.77;95.64;0.26;0.79;100.0;100.0;0.18;99.91;0.13890604558872888;0.4139267592953523;0.40564720250644865;0.0032788170686400466;3504008;percentual:;100;93,11;100;não;;parcialmente;não;;não;não;sim;Possui abastecimento publico por fonte superficial e poço profundo;sim
41;346;Atibaia;SP;2014;35041011;Saneamento Ambiental de Atibaia;SAAE;Local;Água e Esgoto;Autarquia;135895;123686;13021.47;7740.9;0.0;38590.0;24144.0;34194679.77;885834.86;0.0;0.0;99.32;61.3;49.26;54.33;90.4;55.79;0.15;0.71;156.75;166.77;0.0;100.88;0.4055279473054886;-0.03380378534529333;-0.014099010028918849;0.11711199902467002;3504107;percentual:;89,65;55,62;75,01;sim;Decreto Plano Municipal de Gestão Integrada de Resíduos Sólidos;sim, para todos os órgãos e entidades;sim;Projeto Ação Água:Gestão Sustentável.Solic. à PCJ tarifa de contingência.Racionamento em último caso;sim;sim;não;;sim
42;354;Auriflama;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;14897;13582;1001.38;992.22;0.0;5875.0;5549.0;3807521.78;564465.68;0.0;0.0;100.0;98.23;80.41;12.74;95.21;89.56;0.0;0.0;100.0;100.0;0.0;100.0;0.009147376620263992;0.3054724317627358;0.18000970430188204;0.47091341515030405;3504206;percentual:;98;96,27;99;não;;não;não;;não;não;não;;sim
43;362;Avaí;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5243;3521;248.06;236.75;0.0;1548.0;1449.0;966527.34;227430.97;0.0;0.0;100.0;97.96;80.99;17.25;67.86;65.78;0.0;0.0;100.0;100.0;0.0;100.0;0.04559380794968959;0.04804152187165277;0.05158548602801436;-0.10077792378534903;3504305;percentual:;100;100;100;sim;;parcialmente;não;;não;não;não;;não
44;370;Avanhandava;SP;2014;35044011;Departamento de Água e Esgoto de Avanhandava;DAAEA;Local;Água e Esgoto;Autarquia;12516;10583;1218.7;555.4;0.0;3800.0;3777.0;1657620.82;0.0;0.0;220000.0;100.0;100.0;92.75;54.43;84.56;84.56;0.0;4.82;123.97;100.0;0.0;103.33;0.5442684828095512;0.09282859606133735;0.09334111103372111;-0.15401126978153656;3504404;percentual:;100;100;100;sim;Lei Água;sim, para todos os órgãos e entidades;não;;sim;sim;não;;sim
45;378;Avaré;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;87820;84068;7045.8;5818.41;0.0;35514.0;33579.0;25494562.53;4500768.82;0.0;0.0;100.0;97.13;83.26;29.54;95.73;92.98;0.32;0.4;122.58;120.83;0.16;118.7;0.17420165204802862;0.44164997173911597;0.31889587457479496;-1.2446063357781183;3504503;percentual:;100;95,7;100;não;;parcialmente;não;;não;não;não;;sim
46;386;Bady Bassitt;SP;2014;35046011;Prefeitura Municipal de Bady Bassitt;PMBB;Local;Água e Esgoto;Administração pública direta;16109;15068;1428.98;1428.98;0.0;9477.0;9209.0;1500011.1;;313398.86;0.0;100.0;96.03;79.99;0.0;93.54;89.83;2.41;0.0;100.0;100.0;0.0;100.0;0.0;0.38284025207598593;0.27778040823779876;;3504602;percentual:;95;91;100;sim;Lei LEI MUNICIPAL N. 2.191, DE 12 DE DEZEMBRO DE 2013;parcialmente;não;;não;não;não;;sim
47;394;Balbinos;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4629;1489;221.21;220.52;0.0;627.0;602.0;1091885.38;31776.15;0.0;0.0;100.0;100.0;36.48;7.66;96.98;32.17;0.0;0.0;100.0;100.0;0.0;100.0;0.003119207992405393;0.26390141502099257;0.00704055303102702;0.7087716515943263;3504701;percentual:;100;100;100;sim;Outro Plano Municipal de Saneamento;não;não;;não;não;não;;não
48;402;Bálsamo;SP;2014;35048011;Prefeitura Municipal de Bálsamo;PMB;Local;Água e Esgoto;Administração pública direta;8703;7971;622.99;622.99;0.0;3245.0;3245.0;406258.32;;1000.0;148800.0;100.0;100.0;75.61;7.63;100.0;100.0;0.0;0.0;100.0;100.0;0.0;100.0;0.0;1.0;1.0;;3504800;percentual:;100;99;99;não;;sim, para todos os órgãos e entidades;sim;DESENVOLVIMENTO DE CAMPANHAS EDUCATIVAS PARA CONSCIENTIZAR A POPULAÇÃO QUANTO A ECONOMIA DE AGUA;sim;sim;sim;RACIONAMENTO;sim
49;408;Bananal;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;10728;8560;544.36;584.26;0.0;3604.0;3240.0;2164815.53;398266.79;0.0;0.0;99.0;87.21;74.11;12.72;78.99;69.58;0.0;0.0;107.89;107.57;1.54;106.91;-0.0732970828128443;0.04388577143174618;0.028130157716550384;2.192414473384816;3504909;percentual:;99,99;93;93;não;;sim, para todos os órgãos e entidades;não;;não;não;não;;não
