;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE05;TCE06;TCE07;TCE08;TCE09;TCE11;TCE12;TCE13;TCE14;TCE15;TCE16;TCE17;TCE18;TCE19;TCE20;TCE21;TCE22;TCE23;TCE24;TCE25;TCE26;TCE28;TCE29
10;84;Altinópolis;SP;2017;35010011;Prefeitura Municipal de Altinópolis;PMA;Local;Água e Esgoto;Administração pública direta;16219;14171;1820.0;1170.0;0.0;6010.0;5950.0;1254175.64;;328910.34;464471.66;100.0;100.0;82.91;39.56;87.37;87.37;2.22;0.0;82.19;82.19;0.3;100.0;0.3571428571428571;0.04820378735803555;0.16095709742303183;-0.03174603174603163;3501004;Sim;100;Sim;Lei municipal |#| 1940-2016;8,1;8,6;Sim;;;Parcialmente;Não;;Sim;A rede municipal de ensino conta com caixas d'água nas unidades escolares, que consegue suportar determinado período sem o abastecimento de água.;Sim;A rede municipal da Atenção Básica da Saúde conta com caixas d'água nas unidades, que consegue suportar determinado período sem o abastecimento de água.;Não;;Sim;;;;Sim;Não;Sim
11;92;Alto Alegre;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4154;3275;247.33;241.03;0.0;1587.0;1471.0;1298575.61;51362.97;0.0;0.0;100.0;99.3;100.0;18.44;81.34;78.29;0.0;0.0;100.56;100.56;0.0;100.56;0.025472041402175294;0.04711183703729446;0.04226227731421823;0.4996750569238615;3501103;Sim;100;Sim;LEI |#| 2099/2016;8,1;7,8;Não;contrato de programa e lei;30;Sim, para todos os órgãos e entidades;Não;;Sim;Caixas de agua com capacidade suficiente para abastecer a escola por vários dias, e prefeitura também tem sua caixa para uma possível falta de agua na cidade .;Não;;Não;;Não;sabesp;contrato de programa e lei;30;Sim;Não;Sim
12;100;Alumínio;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;18324;15368;1026.83;814.13;0.0;4875.0;4031.0;5457092.0;2283716.26;0.0;0.0;83.16;70.0;34.05;31.11;69.74;58.7;0.0;2.6;104.3;103.49;1.85;101.88;0.20714237020733706;0.14440290119147622;0.016983690036290296;0.10809960920455897;3501152;Sim;100;Não;;1,1;1;Não;CONCESSÃO;30;Parcialmente;Sim;A EMPRESA SABESP QUE ADMINISTRA O SERVIÇO DE ÁGUA E ESGOTO DO MUNICÍPIO EM ANOS ANTERIORES, TEVE PROBLEMA COM ABASTECIMENTO, NOS DOIS ÚLTIMOS ANOS REALIZOU OBRA PARA RETIRAR ÁGUA DIRETAMENTE DA ÁREA ALAGADA DA REPRESA DE  ITUPARARANGA, PARA EM CASO DE EMERGÊNCIA ABASTECER BAIRROS DO MUNICÍPIO.;Sim;A EMPRESA SABESP QUE ADMINISTRA O SERVIÇO DE ÁGUA E ESGOTO DO MUNICÍPIO EM ANOS ANTERIORES, TEVE PROBLEMA COM ABASTECIMENTO, NOS DOIS ÚLTIMOS ANOS REALIZOU OBRA PARA RETIRAR ÁGUA DIRETAMENTE DA ÁREA ALAGADA DA REPRESA DE  ITUPARARANGA, PARA EM CASO DE EMERGÊNCIA ABASTECER BAIRROS DO MUNICÍPIO.;Sim;A EMPRESA SABESP QUE ADMINISTRA O SERVIÇO DE ÁGUA E ESGOTO DO MUNICÍPIO EM ANOS ANTERIORES, TEVE PROBLEMA COM ABASTECIMENTO, NOS DOIS ÚLTIMOS ANOS REALIZOU OBRA PARA RETIRAR ÁGUA DIRETAMENTE DA ÁREA ALAGADA DA REPRESA DE  ITUPARARANGA, PARA EM CASO DE EMERGÊNCIA ABASTECER BAIRROS DO MUNICÍPIO.;Não;;Não;SABESP;CONCESSÃO;30;Sim;Não;Não
13;108;Álvares Florence;SP;2017;35012011;Datema Ambiental Saneamento Básico LTDA;PMV;Local;Água e Esgoto;Empresa privada;3795;2579;203.96;203.96;0.0;1193.0;1179.0;984412.86;188781.86;0.0;0.0;100.0;99.92;80.03;6.97;100.0;99.97;0.0;0.0;100.0;100.0;0.0;100.0;0.0;1.0;0.0;;3501202;Sim;100;Sim;LEI |#| 1750;7;7,3;Não;LICITAÇÃO;30;Parcialmente;Não;;Não;;Não;;Não;;Não;DATEMA AMBIENTAL SANEAMENTO BASICO LTDA;LICITAÇÃO;30;Sim;Não;Sim
14;116;Álvares Machado;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24813;22354;1773.15;1593.17;0.0;10632.0;9872.0;9054545.19;1444948.38;0.0;0.0;100.0;100.0;100.0;21.91;100.0;97.4;0.0;0.0;100.0;98.94;0.15;100.0;0.10150297493161886;1.0;0.4817868694251195;-0.14254771071083977;3501301;Sim;99,6;Não;;10;10;Não;contrato de programa;20;Sim, para todos os órgãos e entidades;Não;;Não;;Não;;Não;;Não;Sabesp;Contrato de programa.;20;Sim;Não;Sim
15;124;Álvaro de Carvalho;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5119;3250;190.65;186.71;0.0;1283.0;1236.0;1016133.76;210826.97;0.0;0.0;99.6;98.37;100.0;16.93;63.24;62.45;0.83;0.0;100.0;99.17;0.0;100.0;0.020666142145292388;0.018426404686603774;0.013276979694406239;-0.007738028334855672;3501400;Sim;100;Não;;9,8;9,5;Não;contrato de programa;30;Parcialmente;Não;;Não;;Não;;Não;;Não;SABESP.;contrato de programa;30;Não;Não;Não
16;132;Alvinlândia;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3196;2869;211.16;169.85;0.0;1164.0;1111.0;907483.97;40051.02;0.0;0.0;100.0;99.62;99.77;33.2;90.74;89.42;3.03;0.0;110.0;109.17;0.0;108.33;0.19563364273536654;0.1441067730500959;0.13205560453614393;-0.04326241215683936;3501509;Sim;100;Não;;7,6;5,3;Não;SIM;30;Sim, para todos os órgãos e entidades;Não;;Não;;Sim;CAIXAS D!AGUA;Sim;JA EXISTE 01 PERFURADO, ESTA LICITAÇÃO PARA INICIAR O USO;Não;SABESP;CONTRATO DE PROGRAMA;30;Sim;Não;Sim
17;140;Americana;SP;2017;35016011;Departamento de Água e Esgoto de Americana;DAE;Local;Água e Esgoto;Autarquia;233868;232775;27002.58;19511.94;0.0;81326.0;79727.0;79045693.56;733217.75;0.0;0.0;100.0;100.0;43.68;46.89;100.0;100.0;0.0;0.0;330.17;406.3;0.0;151.27;0.2774046035601043;1.0;1.0;-0.5745696927234415;3501608;Sim;100;Não;;4;4,5;Não;Lei n° 1.258,  20 de novembro de 1973;0;Parcialmente;Sim;ENROCAMENTO DE PEDRAS E  CONSTRUÇAO DE BARRAGENS, MANOBRAS NO SISTEMA DE DISTRIBUIÇÃO, CAMINHAO PIPA;Sim;ABASTECIMENTO DO RESERVATORIOS ATRAVES DE CAMINHAO PIPA;Sim;ABASTECIMENTO DE RESERVATORIOS ATRAVES DE CAMINHAO PIPA;Não;;Não;DEPARTAMENTO DE AGUA E ESGOTO DE AMERICANA;LEI 1258 de 20 de novembro de 1973;0;Sim;Sim;Sim
18;148;Américo Brasiliense;SP;2017;35017011;Prefeitura Municipal de Américo Brasiliense;PMAB;Local;Água e Esgoto;Administração pública direta;39189;38892;3617.15;2426.65;0.0;11255.0;11230.0;4797389.96;;5771475.77;0.0;100.0;100.0;0.0;32.91;99.24;99.24;1.55;0.17;100.0;100.0;0.0;100.0;0.3291265222620019;0.6934737113697572;0.6600748450287284;0.0821548892077845;3501707;Sim;100;Sim;DECRETO |#| 05/2016;1,5;1,4;Sim;;;Parcialmente;Sim;RACIONAMENTO DO USO DA ÁGUA EM PERÍODOS CRÍTICOS DE ESTIAGEM;Não;;Não;;Não;;Sim;;;;Sim;Não;Sim
19;156;Américo de Campos;SP;2017;35018011;Prefeitura Municipal de Américo de Campos;PMAC;Local;Água e Esgoto;Administração pública direta;5967;5007;480.0;456.0;0.0;2573.0;2573.0;668438.87;;80883.0;0.0;99.8;99.8;79.82;5.0;85.47;85.47;0.0;0.0;100.0;100.0;0.0;100.0;0.050000000000000044;;;;3501806;Sim;100;Não;;9,9;9,9;Sim;;;Parcialmente;Não;;Não;;Não;;Não;;Sim;;;;Sim;Não;Sim
20;161;Amparo;SP;2017;35019011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água e Esgoto;Autarquia;71193;56033;7359.68;4611.6;0.0;24299.0;21697.0;18054210.97;128748.97;0.0;0.0;100.0;95.0;63.7;50.95;78.71;74.77;1.24;1.02;150.0;150.0;0.0;100.0;0.3733966694204096;0.05669134549208029;0.0348040558042561;-0.32697554759356684;3501905;Sim;80;Não;;6,3;7,6;Sim;;;Parcialmente;Sim;O SAAE, por meio da fiscalização efetuou notificações e orientações com base na lei 3789;Não;;Não;;Não;;Sim;;;;Sim;Não;Sim
21;169;Analândia;SP;2017;35020011;Prefeitura Municipal de Analândia;PMA;Local;Água e Esgoto;Administração pública direta;4845;3846;100.0;10.0;0.0;1910.0;1560.0;445000.0;;2100000.0;0.0;100.0;100.0;100.0;10.0;79.38;79.38;7.81;0.0;100.0;100.0;3.65;100.0;0.9;;;;3502002;Sim;100;Sim;LEI |#| 1.794 de 31/12/2013;9,8;8,3;Sim;;;Não;Não;;Não;;Não;;Não;;Sim;;;;Sim;Não;Sim
22;173;Andradina;SP;2017;35021011;Águas de Andradina;AA;Local;Água e Esgoto;Empresa privada;57350;53531;5312.58;3874.17;0.0;24459.0;22122.0;19685586.69;6118779.58;0.0;0.0;100.0;100.0;100.0;36.62;93.34;93.34;0.0;0.0;338.15;123.34;0.0;123.34;0.2707554521531911;0.16823946738549025;-0.030017293200282298;0.02924757579146135;3502101;Sim;100;Sim;DECRETO |#| 4677/2009;8,3;8,1;Sim;;;Sim, para todos os órgãos e entidades;Sim;CAMPANHAS EDUCATIVAS E LEIS PARA ORIENTAR  E COIBIR O DESPERDICIO DE ÁGUA, FAZENDO TAMBÉM TRABALHO POARALELO NAS FACULDADES DA REGIAO , INCENTIVANDO A PESQUISA QUANTO AO USO DE ÁGUAS DA CHUVA PARA LIMPEZA DE ÁREAS ESTERNAS E JARDINAGEM;Sim;Disponibilidade pela concessionaria de caminhao pipa de agua potavel e CAMPANHAS EDUCATIVAS E DE ORIENTAÇÃO QUANTO AO USO RACIONAL DA ÁGUA POTÁVEL, CONTROLE DE VAZAMENTOS , ETC;Sim;CAMPANHAS EDUCATIVAS REFERENTE AO USO RACIONAL EVITANDO O DESPERDICIO DE ÁGUA POTAVEL, CONSIDERANDO QUE NÃO TEMOS FALTA DO PRODUTO ATUALMENTE, MAS OS NÍVEIS DE ÁGUA NOS POÇOS DIMINUI NO PERÍODO DE ESTIAGEM, DEVEMOS MANTES AS CAMPANHAS EDUCATIVAS E AS FISCALIZAÇÕES DOS DESPERDICIOS;Sim;CAMPANHAS EDUCATIVAS  PARA ECONOMIZAR, USO DE LEIS PARA COIBIR O DESPERDÍCIOS E POR ULTIMO , O REDIRECIONAMENTO DE POÇOS REGIONAIS PARA O RESERVATÓRIO PRINCIPAL DE DISTRIBUIÇÃO;Não;"CONCESSÃO DOS SERVIÇO DE ÁGUA E ESGOTO PARA A EMPRESA "" ÁGUAS DE ANDRADINA""";LICITAÇÃO;30;Sim;Não;Sim
23;181;Angatuba;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24634;17694;1339.22;1237.88;0.0;8252.0;6607.0;6792076.55;1505876.16;0.0;0.0;100.0;89.21;82.91;24.55;79.32;64.08;0.0;1.28;109.72;108.75;0.0;107.08;0.07567091291946049;0.06558290844570519;0.030370075232255114;0.4872828479012259;3502200;Sim;95;Sim;LEI COMPLEMENTAR |#| 13/2016;7,7;7,5;Não;Contrato de Programa;30;Parcialmente;Não;;Não;;Não;;Não;;Não;SABESP;Contrato de Programa;30;Sim;Não;Sim
24;189;Anhembi;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6484;4899;463.17;344.78;0.0;2397.0;2226.0;1963647.14;57543.69;0.0;0.0;100.0;97.49;100.0;42.77;77.75;73.66;0.0;0.55;101.11;100.56;0.0;100.0;0.25560809206123025;0.05248921834679837;0.04326959790877315;-0.1767090434087488;3502309;Sim;100;Sim;Lei Municipal |#| 156/2014;9,9;7,1;Não;concessao;30;Parcialmente;Não;;Sim;COLETA SELETIVA - TORNEIRAS AUTOMÁTICAS;Sim;TORNEIRAS AUTOMÁTICAS;Não;;Não;SABESP  - Companhia de Saneamento Básico do Estado de São Paulo;Contrato de Programa - Convênio de Cooperação.;30;Sim;Não;Sim
25;197;Anhumas;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4053;3317;224.27;238.23;0.0;1554.0;1475.0;1334343.01;118349.17;0.0;0.0;100.0;100.0;98.36;7.91;98.32;95.95;0.83;0.0;100.83;100.0;0.0;100.0;-0.06224639942925925;0.6967184929788205;0.4865618661257608;-1.3858549133451998;3502408;Sim;100;Não;;10;8,6;Não;Lei;30;Sim, para todos os órgãos e entidades;Não;;Não;;Não;;Não;;Não;SABESP;contrato;20;Sim;Não;Sim
26;205;Aparecida;SP;2017;35025011;Serviço Autônomo de Água e Esgotos e Resíduos Sólidos;SAAE;Local;Água e Esgoto;Autarquia;36279;35752;5461.58;2711.15;0.0;12484.0;12446.0;16116101.1;566143.51;0.0;0.0;100.0;86.92;0.0;55.17;98.55;85.66;1.47;16.29;154.67;161.71;0.0;42.98;0.5035960289879485;0.43427190064177057;0.05230755049182126;0.029991770302486006;3502507;Sim;98;Sim;LEI |#| 3800/2012;2,8;3,5;Sim;;;Sim, para todos os órgãos e entidades;Não;;Sim;Através da autarquia SAAE. Abastecimento com caminhão pipa.;Sim;Através da autarquia SAAE. Abastecimento com caminhão pipa.;Não;;Sim;;;;Sim;Sim;Sim
27;219;Apiaí;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24945;18040;1484.35;1240.74;0.0;9074.0;5514.0;6622844.55;185667.78;0.0;0.0;100.0;67.85;64.95;32.72;77.17;49.07;0.33;3.26;104.25;104.25;0.0;104.25;0.16411897463536218;0.035913666097005914;0.0183533184649207;-0.07855153079157773;3502705;Sim;90;Sim;LEI |#| 128/11;7,2;5,9;Não;CONCESSÃO;30;Parcialmente;Sim;LEI DE QUEIMADAS URBANAS, AÇÕES PREVENTIVAS COMBATE A INCENDIO;Não;;Não;;Não;;Não;SABESP;CONCESSÃO;30;Não;Sim;Sim
28;227;Araçariguama;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;21038;21038;1083.23;989.1;0.0;5777.0;3822.0;5070890.41;951298.95;0.0;0.0;60.42;39.22;16.22;25.6;60.42;39.22;0.0;0.0;103.24;102.78;0.46;101.39;0.0868975194557019;0.06428636495742439;0.021476854062531484;0.49201058977938006;3502754;Sim;90;Não;;0,6;0,6;Sim;;;Não;Não;;Sim;Também estão sendo perfurados 3 poços artesianos , para casos emergenciais e bairros distantes da SABESP.;Sim;Uso de carro pipa para abastecer as caixas d'água da Saúde.;Sim;O Ribeirão do Igavetá está recebendo benfeitorias para ser usado quando o Ribeirão do Colégio for deficitário ou ocorrer um acidente.;Sim;;;;Não;Sim;Sim
29;235;Araçatuba;SP;2017;35028011;Soluções Ambientais de Araçatuba S.A.;SAMAR;Local;Água e Esgoto;Empresa privada;194874;191116;21865.05;17597.97;0.0;82392.0;81848.0;80008847.98;13937427.41;0.0;0.0;100.0;98.9;100.0;36.65;98.07;96.99;0.52;0.26;376.17;376.17;2.66;100.0;0.19515528205972532;0.49962045916275544;0.38512919631808973;0.2887441455243515;3502804;Sim;100;Não;;10;8,1;Não;Lei municipal;30;Não;Sim;"1.	Comunicar a população, Agência Reguladora, Prefeitura, Ministério Público, Defesa Civil;
2.	Controlar a água disponível em reservatórios;
3.	Realizar a gestão de risco;
4.	Realizar a gestão de recursos hídricos para controle da demanda;
5.	Realizar Ação de conscientização com a população;
6.	 Implementar rodízio de abastecimento;
7.	Colocar em operação a estrutura Flutuante na Captação Tietê.
8.	Realizar o desassoreamento;
9.	Disponibilizar Caminhão Pipa, para hospitais, Fundação Casa, segundo a lista de clientes críticos.";Sim;"1.	Comunicar a população, Agência Reguladora, Prefeitura, Ministério Público, Defesa Civil;
2.	Controlar a água disponível em reservatórios;
3.	Realizar a gestão de risco;
4.	Realizar a gestão de recursos hídricos para controle da demanda;
5.	Realizar Ação de conscientização com a população;
6.	 Implementar rodízio de abastecimento;
7.	Colocar em operação a estrutura Flutuante na Captação Tietê.
8.	Realizar o desassoreamento;
9.	Disponibilizar Caminhão Pipa, para hospitais, Fundação Casa, segundo a lista de clientes críticos. (Anexo 01)**";Sim;"1.	Comunicar a população, Agência Reguladora, Prefeitura, Ministério Público, Defesa Civil;
2.	Controlar a água disponível em reservatórios;
3.	Realizar a gestão de risco;
4.	Realizar a gestão de recursos hídricos para controle da demanda;
5.	Realizar Ação de conscientização com a população;
6.	 Implementar rodízio de abastecimento;
7.	Colocar em operação a estrutura Flutuante na Captação Tietê.
8.	Realizar o desassoreamento;
9.	Disponibilizar Caminhão Pipa, para hospitais, Fundação Casa, segundo a lista de clientes críticos. (Anexo 01)**";Sim;As ações de contingência e emergência possuem finalidade preventiva e corretiva, tendo como objetivo evitar possíveis acidentes, utilizando métodos de segurança a fim de evitar o comprometimento ou a paralisação do sistema de saneamento básico, aumentando o nível de segurança quanto ao atendimento da população. Este Plano também possui a função de garantir a continuidade das atividades exercidas na empresa ainda que expostas a quaisquer eventualidades, sejam materiais ou pessoais.;Não;SAMAR - Soluções Ambientais de Araçatuba;Lei municipal;30;Não;Não;Sim
30;243;Araçoiaba da Serra;SP;2017;35029011;Águas de Araçoiaba;CAA;Local;Água e Esgoto;Empresa privada;32495;22335;3193.2;2436.7;0.0;14061.0;4135.0;10919745.54;1557574.1;0.0;0.0;100.0;39.78;32.74;29.93;97.44;27.34;0.0;0.0;100.0;100.0;0.0;100.0;0.2369096830765377;0.5604349227748296;0.020936605903400088;-0.055907537782801275;3502903;Sim;96;Sim;Lei |#| 2129/17;4,2;4,2;Não;Licitação;30;Parcialmente;Sim;Atendimento da população através de caminhões pipas e campanhas educativas sobre o uso racional da água.;Não;;Sim;Atendimento da população e Rede Municipal de Atenção Básica através de caminhões pipa.;Não;;Não;Concessionária Águas de Araçoiaba da Serra;Licitação;30;Sim;Não;Sim
