;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE03;TCE04;TCE05;TCE06;TCE13;TCE14;TCE15;TCE16;TCE17;TCE18;TCE19;TCE20;TCE21;TCE26;TCE28;TCE29
11;85;Altinópolis;SP;2016;35010011;Prefeitura Municipal de Altinópolis;PMA;Local;Água e Esgoto;Administração pública direta;16199;14153;1820.0;1190.0;0.0;5966.0;5785.0;1057186.56;;167114.8;;99.88;99.88;76.47;34.62;87.26;87.26;5.56;0.0;82.19;82.19;0.0;16.67;0.34615384615384615;0.1672978200284978;0.23189984179622783;0.09860928289360729;3501004;possui registro;100,00;100,00;73,30;Sim;Lei 1940/2016;Parcialmente;não;;Sim;VERIFICADA A CAPACIDADE VOLUMÉTRICA EM CADA UNIDADE ESCOLAR;Não;;não;;Sim;não;sim
12;93;Alto Alegre;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4164;3283;248.08;235.45;0.0;1569.0;1453.0;1057864.41;59636.72;0.0;0.0;100.0;97.81;100.0;20.3;80.09;77.11;0.0;0.0;100.28;100.28;0.0;100.28;0.05091099645275732;0.06023427666523071;0.06906657179828303;-1.4714598359301931;3501103;possui registro;97,01;100,00;100,00;Sim;Lei LEI N° 2.099, DE 27 DE SETEMBRO DE 2016;Parcialmente;sim;Emergencialmente o abastecimento será realizado através de caminhão pipa até a resolução do problema;Sim;Emergencialmente o abastecimento será realizado através de caminhão pipa até a resolução do problema;Sim;Emergencialmente será realizado através de caminhão pipa até a resolução do problema.;sim;Emergencialmente o abastecimento será realizado através de caminhão pipa até a resolução do problema;Sim;não;sim
13;101;Alumínio;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;18194;15259;973.57;747.46;0.0;4518.0;3982.0;3943937.9;5834758.55;0.0;0.0;77.05;70.09;14.14;33.09;64.62;58.78;0.25;1.78;106.72;105.65;0.51;104.57;0.23224832318169208;0.021750792865695874;0.024113959926955718;0.21635672256855779;3501152;possui registro;97,06;100,00;4,05;Não;;Sim, para todos os órgãos e entidades;sim;Campanhas educativas para uso racional da água caminhões pipas emergenciais (sabesp);Sim;Campanhas educativas com funcionários e alunos, se o caso caminhões pipas de emergência.;Sim;Campanhas educativas com funcionários, caminhões pipas emrgenciais.;sim;Caminhões pipas em caso de emergência;Sim;não;não
14;109;Álvares Florence;SP;2016;35012011;Datema Ambiental Saneamento Básico LTDA;PMV;Local;Água e Esgoto;Empresa privada;3824;2598;210.84;210.84;0.0;1210.0;1179.0;923612.3;224958.34;0.0;0.0;100.0;100.0;80.0;10.74;100.0;100.0;0.0;0.0;100.0;100.0;0.0;100.0;0.0;;1.0;1.0;3501202;possui registro;100,00;100,00;88,00;Sim;Lei 1750/2011;Não;não;;Não;;Não;;não;;Sim;não;sim
15;117;Álvares Machado;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24733;22282;1693.51;1543.06;0.0;10410.0;9627.0;7419211.86;987868.68;0.0;0.0;100.0;100.0;100.0;21.01;97.66;93.19;0.0;0.0;100.0;100.0;0.45;100.0;0.08883915654469121;0.5113329024290721;0.3072355250665317;-1.1875294079257985;3501301;possui registro;99,10;99,60;100,00;Não;;Sim, para todos os órgãos e entidades;não;;Não;;Não;;não;;Sim;não;sim
16;125;Álvaro de Carvalho;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5075;3222;191.15;187.23;0.0;1269.0;1226.0;846772.81;346139.51;0.0;0.0;99.78;98.85;100.0;16.87;63.35;62.76;1.67;0.0;100.0;100.0;0.0;100.0;0.020507454878367803;0.018712648285975013;0.01755633270012213;0.7864868245971176;3501400;possui registro;64,00;64,00;98,00;Não;;Não;sim;funcionarios capacitados no curso de estiagem e equipamentos de brigada de incêndio a disposição;Não;;Não;;não;;Não;não;não
17;133;Alvinlândia;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3182;2856;208.03;169.02;0.0;1144.0;1091.0;744834.73;8815.26;0.0;0.0;100.0;99.26;99.93;32.67;90.38;89.09;1.55;0.0;107.5;106.67;1.59;105.0;0.18752103062058356;0.09646295387111226;0.1576249499294412;-0.029750795237197494;3501509;possui registro;100,00;100,00;100,00;Não;Lei Lei n.º 1.165/08;Sim, para todos os órgãos e entidades;não;;Sim;Conforme informação prestada sao realizados trabalhos de conscientização, implantação de torneiras temporizadoras, bebedouros, vasos acoplados, etc;Sim;Conforme informação prestada sao realizados trabalhos de conscientização, principalmente com agentes comunitarios, implantação de torneiras temporizadoras, bebedouros, vasos acoplados, etc;não;;Sim;sim;sim
18;141;Americana;SP;2016;35016011;Departamento de Água e Esgoto de Americana;DAE;Local;Água e Esgoto;Autarquia;231621;230539;25725.34;21193.1;0.0;80748.0;79135.0;70332794.2;239641.02;0.0;0.0;100.0;100.0;36.84;26.67;100.0;100.0;0.0;0.01;331.89;408.35;0.0;150.66;0.17617804079557364;1.0;1.0;0.038458240802489094;3501608;possui registro;98,30;100,00;88,30;Não;;Parcialmente;sim;ENROCAMENTO DE PEDRAS E  CONSTRUÇAO DE BARRAGENS, MANOBRAS NO SISTEMA DE DISTRIBUIÇÃO, CAMINHAO PIPA;Sim;abastecimento dos reservatorios atraves de caminhões pipa;Sim;abstecimento dos reservatorios atraves de caminhões pipa;não;;Sim;sim;sim
19;149;Américo Brasiliense;SP;2016;35017011;Prefeitura Municipal de Américo Brasiliense;PMAB;Local;Água e Esgoto;Administração pública direta;38701;38408;3214.43;2061.78;0.0;11060.0;11063.0;4758449.71;;0.0;0.0;98.71;98.71;0.0;35.86;97.96;97.96;5.95;0.08;100.0;100.0;0.0;100.0;0.3585861256894689;0.4068782189732498;0.38132572198019377;-2.1836848560019853;3501707;possui registro;100,00;100,00;0,00;Sim;Decreto 005/2016;Não;não;;Não;;Não;;não;;Não;não;sim
20;162;Amparo;SP;2016;35019011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água e Esgoto;Autarquia;70742;55678;6253.97;4494.17;0.0;23904.0;21433.0;15608475.9;763034.49;0.0;0.0;100.0;95.0;60.12;43.34;78.71;74.77;0.63;0.74;158.26;158.26;0.0;100.0;0.28138926154106914;0.05798611935071998;0.04237153441273096;0.27848904213056835;3501905;possui registro;96,00;79,00;70,00;Não;;Parcialmente;sim;divulgação de alerta em mídia digital, panfletagens, educação amb. na rede municipal;Não;;Não;;não;;Sim;não;sim
21;174;Andradina;SP;2016;35021011;Águas de Andradina;AA;Local;Água e Esgoto;Empresa privada;57300;53484;5332.38;3845.11;0.0;24106.0;22168.0;17595000.0;3941886.46;0.0;0.0;100.0;98.18;100.0;37.45;93.34;91.64;0.08;0.0;319.78;109.06;0.0;109.34;0.27891298069529924;0.2102834649511489;0.24801901704681664;-0.1250366883845713;3502101;possui registro;0,98;100,00;100,00;Sim;Decreto 4677 de 09 de setembro de 2009;Sim, para todos os órgãos e entidades;sim;Foi criada lei que proibe o desperdício de água potavel;Sim;Campanhas educativas e ações que evitem o desperdicio;Sim;campanhas educativas para economizar, eliminar vazamentos e limpeza de cx de água;sim;reservatório de grande porte e manutenções preventivas;Sim;não;não
22;182;Angatuba;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;24400;17526;1432.23;1220.85;0.0;8101.0;6491.0;5621305.8;266547.53;0.0;0.0;100.0;88.89;82.77;30.59;79.05;63.85;0.78;1.18;107.22;106.25;0.53;104.03;0.14758802706269247;0.06121705614384542;0.03213051016676955;0.3479477042014198;3502200;possui registro;80,00;90,00;80,00;Não;;Sim, para todos os órgãos e entidades;não;;Não;;Não;;não;;Sim;não;sim
23;190;Anhembi;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6397;4833;433.61;339.42;0.0;2359.0;2190.0;1628231.6;345138.42;0.0;0.0;100.0;96.75;96.5;39.43;77.29;73.1;1.9;0.27;102.22;102.22;0.55;101.39;0.21722285002652153;0.06476497923198948;0.06388692467206405;-0.3509722030602148;3502309;possui registro;95,78;100,00;95,00;Sim;Lei 156/14;Parcialmente;não;;Sim;COLETA SELETIVA - TORNEIRAS AUTOMÁTICAS;Sim;TORNEIRAS AUTOMÁTICAS;não;;Sim;não;sim
24;198;Anhumas;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4026;3295;216.56;222.21;0.0;1493.0;1416.0;1084498.69;287831.69;0.0;0.0;100.0;100.0;90.98;10.34;94.96;92.35;0.0;0.0;100.0;100.0;0.0;100.0;-0.026089767270040642;0.5812695600300937;0.4816673884073294;0.029746446524580247;3502408;possui registro;98,00;100,00;100,00;Não;;Sim, para todos os órgãos e entidades;não;;Não;;Não;;não;;Sim;não;sim
25;206;Aparecida;SP;2016;35025011;Serviço Autônomo de Água e Esgotos e Resíduos Sólidos;SAAE;Local;Água e Esgoto;Autarquia;36248;35721;5314.67;2555.47;0.0;12343.0;12331.0;14099860.07;2056952.26;0.0;0.0;100.0;87.1;0.0;57.01;100.0;85.83;0.0;0.0;21.34;56.0;0.0;64.64;0.5191667591778981;1.0;0.06734557341851986;0.0273218403467438;3502507;possui registro;100,00;100,00;0,00;Sim;Lei LEI 3800/2012 DE 19 DE DEZEMBRO DE 2012;Não;não;;Não;;Não;;não;;Sim;não;sim
26;220;Apiaí;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;25077;18136;1445.92;1225.9;0.0;8974.0;5407.0;5662937.86;1559390.54;0.0;0.0;100.0;66.56;65.8;31.66;76.57;48.14;0.8;1.32;110.76;110.68;0.15;110.68;0.15216609494301203;0.02933904321898834;0.021831040403157385;0.2158438873491327;3502705;possui registro;75,00;98,00;75,00;Sim;Lei N° 128 de 18 de outubro de 2011;Sim, para todos os órgãos e entidades;sim;Plano de Contingenciamento, Contrato com Sabesp de Concessão.;Não;;Não;;sim;Plano de Contingenciamento fornecimento de caminhões tanque, como descrito no contrato.;Sim;não;sim
27;228;Araçariguama;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;20581;20581;1149.41;952.79;0.0;5517.0;3692.0;4310128.93;5187229.08;0.0;0.0;60.12;39.2;0.0;32.15;60.12;39.2;0.0;1.28;108.33;108.33;0.43;107.41;0.17106167512027914;0.07716269820297976;0.019854965138537635;0.17867056580351273;3502754;possui registro;69,00;85,00;0,00;Sim;;Não;não;;Não;;Não;;não;;Não;não;não
28;236;Araçatuba;SP;2016;35028011;Soluções Ambientais de Araçatuba S.A.;SAMAR;Local;Água e Esgoto;Empresa privada;193828;190090;23283.04;16894.61;0.0;80773.0;80257.0;72699209.02;6511151.99;0.0;0.0;100.0;99.0;100.0;41.02;98.07;97.09;3.29;0.52;122.82;122.82;1.9;107.82;0.2743812663638425;-0.21103183882106558;0.4110684286980807;0.27077644593680894;3502804;possui registro;100,00;100,00;98,00;Não;;Parcialmente;sim;diversos;Não;;Não;;sim;diversos;Não;não;não
29;244;Araçoiaba da Serra;SP;2016;35029011;Águas de Araçoiaba;CAA;Local;Água e Esgoto;Empresa privada;31915;21937;3020.2;2342.57;0.0;13590.0;3900.0;9538142.2;2002079.18;0.0;0.0;99.85;39.78;26.07;18.44;96.88;27.34;0.0;0.0;100.0;100.0;0.0;100.0;0.2243659360307263;0.5873684177745873;0.024746388425671662;-0.13064617420382557;3502903;possui registro;39,00;100,00;100,00;Não;;Sim, para todos os órgãos e entidades;não;;Não;;Não;;não;;Sim;não;sim
30;252;Arandu;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6360;4793;440.0;303.65;0.0;1948.0;1896.0;1511889.43;73632.14;0.0;0.0;83.81;82.95;100.0;41.32;63.16;62.52;0.0;0.0;108.33;107.5;0.0;104.17;0.3098863636363637;0.03236161824271482;0.043747860404730686;-0.16184142773309956;3503109;possui registro;97,00;100,00;100,00;Sim;Lei 2316;Não;não;;Não;;Não;;sim;uso caminhão pipa;Sim;sim;sim
31;260;Arapeí;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;2516;1892;110.81;126.08;0.0;952.0;804.0;579711.47;83601.26;0.0;0.0;100.0;90.33;95.1;17.12;80.45;67.93;0.0;0.0;111.67;110.0;0.76;110.0;-0.13780344734229755;0.33587517953201235;0.028163870054889444;0.08476256991851597;3503158;não possui registro;;;;Sim;;Não;não;;Não;;Não;;sim;Plano de contigencias a ser realizado pela Sabesp;Não;não;sim
32;268;Araraquara;SP;2016;35032011;Departamento Autônomo de Água e Esgotos;DAAE;Local;Água e Esgoto;Autarquia;228664;222163;34991.01;16191.75;0.0;113128.0;113516.0;94910410.81;3041779.64;0.0;0.0;99.52;99.85;92.01;52.93;97.12;97.18;0.15;0.03;125.57;125.57;0.36;143.7;0.5372597132806398;0.45235633156110877;0.4568805035757507;-0.036201839418644334;3503208;possui registro;99,80;100,00;100,00;Sim;Lei Plano Municipal de Saneamento Básico;Sim, para todos os órgãos e entidades;não;;Não;;Não;;não;;Sim;sim;sim
33;276;Araras;SP;2016;35033011;Serviço de Água, Esgoto e Meio Ambiente do Município de Araras;SAEMA;Local;Água e Esgoto;Autarquia;130102;123097;17032.0;9873.0;0.0;46156.0;45293.0;33839503.0;4776331.42;0.0;0.0;100.0;100.0;80.0;44.92;100.0;100.0;0.01;0.0;100.0;100.0;0.0;100.0;0.4203264443400657;1.0;1.0;-0.3622939982932808;3503307;possui registro;100,00;100,00;0,00;Sim;Decreto Decreto nº 6.177, de 22 de dezembro de 2015;Parcialmente;sim;Plano de Metas 2015 - SAEMA;Sim;"capacitaçao em: agua e energia;projeto reciclaoleo;escolad com item sustentavel e açoes dr educ. ambiental";Sim;açoes de racionamento;não;;Sim;não;sim
34;284;Arco-Íris;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;1873;1067;81.75;84.16;0.0;560.0;538.0;392687.81;82616.4;0.0;0.0;100.0;99.44;100.0;12.69;57.82;56.65;3.33;0.0;100.0;100.0;0.83;100.0;-0.029480122324158975;0.019206622331767665;0.016718770092141906;0.5597520134008147;3503356;possui registro;100,00;100,00;81,00;Não;;Sim, para todos os órgãos e entidades;sim;Plano de Contingência;Sim;Transferência de água entre setores de abastecimento.;Sim;Transferência de água entre setores de abastecimentos.;sim;Deslocamento de frota de caminhões tanque.;Sim;não;sim
35;292;Arealva;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8402;6618;579.99;524.69;0.0;3258.0;2802.0;2332247.91;71967.78;0.0;0.0;86.99;78.38;89.28;23.26;68.52;61.74;0.21;0.82;101.46;101.46;0.0;101.46;0.09534647149088771;0.029815607731670878;0.028533275772732052;0.2901998340940345;3503406;possui registro;90,00;95,00;90,00;Sim;Outro Convênio de Cooperação da Prefeitura Municipal com Governo do Estado.;Não;não;;Não;;Não;;não;;Sim;não;sim
36;299;Areias;SP;2016;35035011;Prefeitura Municipal de Areias;PMA;Local;Água e Esgoto;Administração pública direta;3869;2594;1000.0;500.0;0.0;1000.0;1000.0;0.0;;350000.0;0.0;95.41;95.41;0.2;50.0;77.54;63.97;20.0;15.0;100.0;100.0;22.0;100.0;0.5;;;;3503505;não possui registro;;;;Sim;Lei LEI n.° 1.237, de 8 de outubro de 2015.;Parcialmente;não;;Não;;Não;;não;;Não;não;sim
37;301;Areiópolis;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;11078;9844;674.69;607.67;0.0;3745.0;3707.0;2851628.13;107890.37;0.0;0.0;100.0;100.0;95.26;19.85;95.28;95.04;0.0;0.0;102.78;102.78;0.0;100.46;0.09933450918199482;0.2739505462909716;0.26569199409573335;-0.16320853385414452;3503604;possui registro;100,00;100,00;100,00;Não;;Não;não;;Não;;Não;;não;;Não;não;sim
38;309;Ariranha;SP;2016;35037011;Prefeitura Municipal de Ariranha;PMA;Local;Água e Esgoto;Administração pública direta;9365;8869;587.12;587.12;587.12;2810.0;2810.0;372001.49;;2170.0;745400.0;100.0;100.0;0.0;0.0;94.7;94.7;0.0;0.0;100.0;100.0;0.0;100.0;0.5;;;;3503703;possui registro;100,00;100,00;;Sim;Lei 2520 DE 19/06/2013;Não;não;;Não;;Não;;não;;Não;não;sim
39;312;Artur Nogueira;SP;2016;35038011;Serviço de Água e Esgoto de Artur Nogueira;SAEAN;Local;Água e Esgoto;Autarquia;51126;46290;3828.4;2455.38;0.0;16285.0;15359.0;11099587.57;613679.08;3097606.14;404581.01;99.95;96.96;45.57;33.77;90.5;87.79;0.18;8.48;111.24;111.2;0.06;100.06;0.358640685403824;0.39880777742587964;0.31250413340573413;0.049715347620165946;3503802;possui registro;97,00;100,00;35,00;Sim;Lei 3227;Não;não;;Sim;Nesses casos o SAEAN abastece a escola com carro pipa;Sim;Abastecimento com carro pipa;sim;Campanhas para despertar na população a preocupação em economizar água, Lei 3191;Sim;não;sim
40;320;Arujá;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;85199;81799;0.0;5281.97;6107.61;28671.0;17772.0;30450323.9;3832837.67;0.0;0.0;100.0;69.74;45.86;29.14;100.0;66.96;0.0;0.0;119.3;119.3;0.74;119.3;0.1351821743693522;1.0;0.1251095127513966;-4.618663939338924;3503901;possui registro;65,00;100,00;100,00;Sim;Lei 2.410/2011;Parcialmente;sim;Ações com a concessionária local, através de racionamento em próprios públicos, campanhas/população.;Sim;Fornecimento de água através de caminhão pipa.;Sim;Fornecimento de água potável através de caminhão pipa;sim;Fornecimento de água através da concessionária.;Sim;não;sim
41;328;Aspásia;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;1845;1282;96.28;96.68;0.0;650.0;644.0;436477.4;63069.9;0.0;0.0;100.0;100.0;100.0;14.42;84.39;84.39;0.0;0.0;100.0;100.0;0.0;100.0;-0.004154549231408344;0.1238765129136794;0.12488650677651392;1.1730811528216145;3503950;possui registro;100,00;100,00;100,00;Sim;Outro Esta em outra fase de elaboração;Sim, para todos os órgãos e entidades;sim;Deslocamento de frota de caminhões tanque. Controle de água disponível em reservatorios;Sim;Deslocamento da frota de caminhões tanque da SABESP para transferencia de água entre setores de abatecimento.;Sim;Quando necessário, transporte de água com caminhão pipa.;sim;O Plano descreve as atividades essenciais para propiciar a operação permanete do sistema de abasteci;Sim;não;sim
42;336;Assis;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;102268;97804;8174.96;6918.57;0.0;42413.0;41807.0;37815156.64;2245771.42;0.0;0.0;100.0;100.0;99.3;26.97;97.27;97.0;0.0;0.87;100.35;100.17;0.09;100.17;0.1536876021411726;0.3222551837422478;0.314785373608903;-0.12301602682826471;3504008;possui registro;99,00;99,00;98,00;Não;;Parcialmente;não;;Não;;Não;;não;;Sim;não;sim
